Strain,Group,Color,Replicate,HOBO,Temp,RH,FinalDateTime
ROCK,M,B,Morning,192,30.375,72.535,7/25/2023 9:14
ROCK,M,B,Morning,192,30.603,70.018,7/25/2023 9:24
ROCK,M,B,Morning,192,30.881,67.952,7/25/2023 9:34
ROCK,M,B,Morning,192,31.059,67.135,7/25/2023 9:44
ROCK,M,B,Morning,192,31.186,66.337,7/25/2023 9:54
ROCK,M,B,Morning,192,31.543,63.436,7/25/2023 10:04
ROCK,M,B,Morning,192,31.978,60.891,7/25/2023 10:14
ROCK,M,B,Morning,192,32.363,58.51,7/25/2023 10:24
ROCK,M,B,Morning,192,32.673,57.56,7/25/2023 10:34
ROCK,M,B,Morning,192,32.957,56.988,7/25/2023 10:44
ROCK,M,B,Morning,192,32.957,57.658,7/25/2023 10:54
ROCK,M,B,Morning,192,33.009,57.167,7/25/2023 11:04
ROCK,M,B,Morning,192,33.347,54.345,7/25/2023 11:14
ROCK,M,B,Morning,128,30.149,77.558,7/25/2023 9:15
ROCK,M,B,Morning,128,30.401,74.53,7/25/2023 9:25
ROCK,M,B,Morning,128,30.704,72.34,7/25/2023 9:35
ROCK,M,B,Morning,128,30.78,71.394,7/25/2023 9:45
ROCK,M,B,Morning,128,30.983,70.535,7/25/2023 9:55
ROCK,M,B,Morning,128,31.339,67.842,7/25/2023 10:05
ROCK,M,B,Morning,128,31.696,65.112,7/25/2023 10:15
ROCK,M,B,Morning,128,31.952,63.629,7/25/2023 10:25
ROCK,M,B,Morning,128,32.132,62.671,7/25/2023 10:35
ROCK,M,B,Morning,128,32.312,62.333,7/25/2023 10:45
ROCK,M,B,Morning,128,32.286,62.489,7/25/2023 10:55
ROCK,M,B,Morning,128,32.492,62.223,7/25/2023 11:05
ROCK,M,B,Morning,128,32.75,60.075,7/25/2023 11:15
ROCK,M,B,Morning,64,30.023,76.152,7/25/2023 9:17
ROCK,M,B,Morning,64,30.174,74.376,7/25/2023 9:27
ROCK,M,B,Morning,64,30.375,72.901,7/25/2023 9:37
ROCK,M,B,Morning,64,30.451,72.02,7/25/2023 9:47
ROCK,M,B,Morning,64,30.653,70.097,7/25/2023 9:57
ROCK,M,B,Morning,64,30.957,69.628,7/25/2023 10:07
ROCK,M,B,Morning,64,31.262,66.656,7/25/2023 10:17
ROCK,M,B,Morning,64,31.517,65.512,7/25/2023 10:27
ROCK,M,B,Morning,64,31.645,65.678,7/25/2023 10:37
ROCK,M,B,Morning,64,31.747,63.478,7/25/2023 10:47
ROCK,M,B,Morning,64,31.747,64.627,7/25/2023 10:57
ROCK,M,B,Morning,64,31.978,63.168,7/25/2023 11:07
ROCK,M,B,Morning,64,32.183,62.919,7/25/2023 11:17
ROCK,M,B,Morning,0,29.546,77.096,7/25/2023 9:18
ROCK,M,B,Morning,0,29.671,76.387,7/25/2023 9:28
ROCK,M,B,Morning,0,29.847,75.514,7/25/2023 9:38
ROCK,M,B,Morning,0,29.922,74.821,7/25/2023 9:48
ROCK,M,B,Morning,0,30.123,74.264,7/25/2023 9:58
ROCK,M,B,Morning,0,30.35,73.063,7/25/2023 10:08
ROCK,M,B,Morning,0,30.603,71.852,7/25/2023 10:18
ROCK,M,B,Morning,0,30.831,70.827,7/25/2023 10:28
ROCK,M,B,Morning,0,30.957,69.503,7/25/2023 10:38
ROCK,M,B,Morning,0,31.034,69.451,7/25/2023 10:48
ROCK,M,B,Morning,0,31.084,68.758,7/25/2023 10:58
ROCK,M,B,Morning,0,31.288,68.531,7/25/2023 11:08
ROCK,M,B,Morning,0,31.645,66.728,7/25/2023 11:18
ROCK,UF,B,Noon,192,36.291,39.881,7/25/2023 13:14
ROCK,UF,B,Noon,192,36.318,38.497,7/25/2023 13:24
ROCK,UF,B,Noon,192,36.102,37.879,7/25/2023 13:34
ROCK,UF,B,Noon,192,36.318,36.539,7/25/2023 13:44
ROCK,UF,B,Noon,192,36.453,36.504,7/25/2023 13:54
ROCK,UF,B,Noon,192,36.345,36.793,7/25/2023 14:04
ROCK,UF,B,Noon,192,36.182,37.234,7/25/2023 14:14
ROCK,UF,B,Noon,192,36.021,37.498,7/25/2023 14:24
ROCK,UF,B,Noon,192,35.994,37.154,7/25/2023 14:34
ROCK,UF,B,Noon,192,35.859,37.571,7/25/2023 14:44
ROCK,UF,B,Noon,192,35.752,36.68,7/25/2023 14:54
ROCK,UF,B,Noon,192,35.645,36.962,7/25/2023 15:04
ROCK,UF,B,Noon,192,35.404,36.205,7/25/2023 15:14
ROCK,UF,B,Noon,128,35.217,45.425,7/25/2023 13:15
ROCK,UF,B,Noon,128,35.217,43.185,7/25/2023 13:25
ROCK,UF,B,Noon,128,35.19,43.192,7/25/2023 13:35
ROCK,UF,B,Noon,128,35.431,42.398,7/25/2023 13:45
ROCK,UF,B,Noon,128,35.537,40.92,7/25/2023 13:55
ROCK,UF,B,Noon,128,35.484,41.292,7/25/2023 14:05
ROCK,UF,B,Noon,128,35.377,41.196,7/25/2023 14:15
ROCK,UF,B,Noon,128,35.324,42.107,7/25/2023 14:25
ROCK,UF,B,Noon,128,35.324,41.015,7/25/2023 14:35
ROCK,UF,B,Noon,128,35.244,41.076,7/25/2023 14:45
ROCK,UF,B,Noon,128,35.19,40.541,7/25/2023 14:55
ROCK,UF,B,Noon,128,35.111,40.608,7/25/2023 15:05
ROCK,UF,B,Noon,128,34.924,39.595,7/25/2023 15:15
ROCK,UF,B,Noon,64,34.554,48.761,7/25/2023 13:17
ROCK,UF,B,Noon,64,34.527,46.972,7/25/2023 13:27
ROCK,UF,B,Noon,64,34.527,47.144,7/25/2023 13:37
ROCK,UF,B,Noon,64,34.739,45.435,7/25/2023 13:47
ROCK,UF,B,Noon,64,34.818,45.719,7/25/2023 13:57
ROCK,UF,B,Noon,64,34.818,43.754,7/25/2023 14:07
ROCK,UF,B,Noon,64,34.739,44.459,7/25/2023 14:17
ROCK,UF,B,Noon,64,34.739,45.966,7/25/2023 14:27
ROCK,UF,B,Noon,64,34.712,43.115,7/25/2023 14:37
ROCK,UF,B,Noon,64,34.686,43.016,7/25/2023 14:47
ROCK,UF,B,Noon,64,34.686,44.277,7/25/2023 14:57
ROCK,UF,B,Noon,64,34.607,43.143,7/25/2023 15:07
ROCK,UF,B,Noon,64,34.448,42.893,7/25/2023 15:17
ROCK,UF,B,Noon,0,33.712,57.893,7/25/2023 13:18
ROCK,UF,B,Noon,0,33.66,58.168,7/25/2023 13:28
ROCK,UF,B,Noon,0,33.712,56.938,7/25/2023 13:38
ROCK,UF,B,Noon,0,33.817,54.824,7/25/2023 13:48
ROCK,UF,B,Noon,0,33.896,53.299,7/25/2023 13:58
ROCK,UF,B,Noon,0,33.896,53.533,7/25/2023 14:08
ROCK,UF,B,Noon,0,33.896,53.533,7/25/2023 14:18
ROCK,UF,B,Noon,0,33.922,54.56,7/25/2023 14:28
ROCK,UF,B,Noon,0,33.896,53.082,7/25/2023 14:38
ROCK,UF,B,Noon,0,33.896,53.286,7/25/2023 14:48
ROCK,UF,B,Noon,0,33.896,50.853,7/25/2023 14:58
ROCK,UF,B,Noon,0,33.817,53.128,7/25/2023 15:08
ROCK,UF,B,Noon,0,33.817,46.969,7/25/2023 15:18
ROCK,BF,B,Afternoon,192,33.347,54.951,7/25/2023 16:44
ROCK,BF,B,Afternoon,192,33.061,53.639,7/25/2023 16:54
ROCK,BF,B,Afternoon,192,32.88,53.29,7/25/2023 17:04
ROCK,BF,B,Afternoon,192,32.44,45.348,7/25/2023 17:14
ROCK,BF,B,Afternoon,192,31.313,44.442,7/25/2023 17:24
ROCK,BF,B,Afternoon,192,30.325,47.38,7/25/2023 17:34
ROCK,BF,B,Afternoon,192,29.797,49.684,7/25/2023 17:44
ROCK,BF,B,Afternoon,192,29.521,51.66,7/25/2023 17:54
ROCK,BF,B,Afternoon,192,29.246,53.205,7/25/2023 18:04
ROCK,BF,B,Afternoon,192,29.047,55.143,7/25/2023 18:14
ROCK,BF,B,Afternoon,192,28.798,56.885,7/25/2023 18:24
ROCK,BF,B,Afternoon,192,28.549,57.879,7/25/2023 18:34
ROCK,BF,B,Afternoon,192,28.375,58.955,7/25/2023 18:44
ROCK,BF,B,Afternoon,128,34.001,59.306,7/25/2023 16:15
ROCK,BF,B,Afternoon,128,33.66,60.166,7/25/2023 16:25
ROCK,BF,B,Afternoon,128,33.425,60.458,7/25/2023 16:35
ROCK,BF,B,Afternoon,128,33.217,58.209,7/25/2023 16:45
ROCK,BF,B,Afternoon,128,32.957,57.622,7/25/2023 16:55
ROCK,BF,B,Afternoon,128,32.802,57.092,7/25/2023 17:05
ROCK,BF,B,Afternoon,128,32.157,47.119,7/25/2023 17:15
